Tarih,TLREF,Unnamed: 2,TLREF_Percentage
19.08.2025,42.6854,,0.426854
18.08.2025,42.6618,,0.426618
15.08.2025,42.6563,,0.426563
14.08.2025,42.6497,,0.426497
13.08.2025,42.6374,,0.426374
12.08.2025,42.6699,,0.426699
11.08.2025,42.6777,,0.426777
08.08.2025,42.7902,,0.427902
07.08.2025,42.8025,,0.42802500000000004
06.08.2025,42.7983,,0.427983
05.08.2025,42.7141,,0.427141
04.08.2025,42.6886,,0.426886
01.08.2025,42.6848,,0.426848
31.07.2025,42.6511,,0.426511
30.07.2025,42.6627,,0.42662700000000003
29.07.2025,42.6454,,0.426454
28.07.2025,42.6501,,0.426501
25.07.2025,42.8411,,0.428411
24.07.2025,45.6951,,0.45695099999999994
23.07.2025,45.6598,,0.45659799999999995
22.07.2025,45.5746,,0.455746
21.07.2025,45.6088,,0.45608800000000005
18.07.2025,45.5817,,0.45581699999999997
17.07.2025,45.7049,,0.45704900000000004
16.07.2025,45.6042,,0.456042
14.07.2025,45.5165,,0.455165
11.07.2025,45.5643,,0.455643
10.07.2025,45.8741,,0.458741
09.07.2025,45.9481,,0.459481
08.07.2025,46.0152,,0.460152
07.07.2025,46.57,,0.4657
04.07.2025,46.845,,0.46845
03.07.2025,46.1572,,0.46157200000000004
02.07.2025,45.946,,0.45946
01.07.2025,45.8966,,0.458966
30.06.2025,46.9709,,0.469709
27.06.2025,46.6851,,0.46685099999999996
26.06.2025,46.7095,,0.467095
25.06.2025,48.3955,,0.48395499999999997
24.06.2025,46.557,,0.46557000000000004
23.06.2025,46.4464,,0.464464
20.06.2025,46.3988,,0.463988
19.06.2025,47.0344,,0.470344
18.06.2025,46.1835,,0.461835
17.06.2025,46.1156,,0.461156
16.06.2025,46.3382,,0.463382
13.06.2025,47.1258,,0.47125799999999995
12.06.2025,48.5428,,0.48542799999999997
11.06.2025,48.9922,,0.48992199999999997
10.06.2025,48.9928,,0.48992800000000003
05.06.2025,48.9962,,0.489962
04.06.2025,48.997,,0.48997
03.06.2025,48.9946,,0.489946
02.06.2025,48.9942,,0.489942
30.05.2025,48.994,,0.48994
29.05.2025,48.9946,,0.489946
28.05.2025,48.9934,,0.48993400000000004
27.05.2025,48.9932,,0.48993200000000003
26.05.2025,48.9883,,0.489883
23.05.2025,48.8996,,0.488996
22.05.2025,45.795,,0.45795
21.05.2025,48.6186,,0.486186
20.05.2025,48.8789,,0.48878900000000003
16.05.2025,48.9778,,0.48977800000000005
15.05.2025,48.9904,,0.489904
14.05.2025,48.9921,,0.489921
